,C,Dm,Em,F,G,Am,G/B,Cmaj7,Em7,Dm7,Am7,Fmaj7
C,4,6,5,23,27,14,6,2,3,4,3,3
Dm,15,4,8,20,19,19,1,2,3,3,3,3
Em,6,10,4,33,8,30,1,1,1,2,2,2
F,30,6,4,4,28,12,2,4,2,2,2,4
G,24,6,5,24,4,26,3,1,1,2,3,1
Am,12,8,7,27,26,4,6,2,2,2,2,2
G/B,32,3,1,9,9,31,4,3,1,1,5,1
Cmaj7,11,4,2,10,5,11,2,4,4,12,13,22
Em7,2,2,3,15,3,20,2,1,4,15,17,16
Dm7,5,4,4,13,24,6,2,2,14,4,14,8
Am7,6,6,1,17,19,9,3,2,11,15,4,7
Fmaj7,14,4,4,5,22,11,3,3,17,9,4,4
